index,top1,top3,top5,top7,top10,top15,top20,top30,top40,top50
29,0.06394,0.06322,0.06134,0.05819,0.05819,0.05819,0.05701,0.05701,0.05699,0.05699
30,0.04332,0.04107,0.04107,0.03796,0.03796,0.03796,0.03796,0.03796,0.03796,0.03796
32,0.0529,0.0475,0.0475,0.04034,0.03638,0.03638,0.03631,0.03631,0.0354,0.0354
33,0.1629,0.1629,0.1443,0.1311,0.13,0.13,0.1217,0.1217,0.08457,0.08457
34,0.3534,0.2909,0.242,0.242,0.1978,0.1978,0.1978,0.195,0.1806,0.1806
37,0.06702,0.05524,0.05464,0.05464,0.05388,0.05335,0.04937,0.04782,0.04466,0.0432
38,0.06309,0.05997,0.04979,0.04294,0.03112,0.03112,0.03112,0.03112,0.02802,0.02802
39,0.09691,0.05569,0.05213,0.05031,0.05031,0.03811,0.02996,0.02876,0.0283,0.0283
41,0.02648,0.02602,0.02602,0.02602,0.02437,0.02437,0.02437,0.02437,0.02437,0.02437
42,0.07222,0.07222,0.07222,0.07118,0.06904,0.06276,0.05922,0.05922,0.05922,0.05669
45,0.1693,0.1693,0.1693,0.1196,0.1196,0.1196,0.1196,0.1196,0.1196,0.1196
46,0.1283,0.1185,0.1185,0.1185,0.1155,0.1062,0.1062,0.1032,0.09935,0.09454
48,0.1716,0.09754,0.09754,0.09754,0.09754,0.09754,0.09754,0.06251,0.06075,0.06075
49,0.07842,0.06805,0.06805,0.06805,0.06498,0.06498,0.06498,0.05848,0.0582,0.0582
50,0.1559,0.1559,0.1559,0.1559,0.1559,0.1559,0.1559,0.1559,0.1559,0.1559
51,0.02008,0.01947,0.01947,0.01699,0.01523,0.01523,0.01523,0.01523,0.01523,0.01523
54,0.1539,0.129,0.129,0.1177,0.1177,0.1116,0.1042,0.1042,0.1042,0.1042
56,0.2089,0.1786,0.1384,0.09645,0.09645,0.09645,0.09378,0.09378,0.09378,0.09378
61,0.1102,0.1016,0.09876,0.09876,0.09876,0.0982,0.05232,0.04707,0.04524,0.04303
64,0.0162,0.0162,0.0162,0.01588,0.01588,0.01588,0.01588,0.01574,0.01574,0.01574
65,0.03591,0.0357,0.03471,0.03471,0.03471,0.03471,0.03471,0.03442,0.03442,0.03442
66,0.1313,0.1313,0.1286,0.1286,0.1286,0.1286,0.1286,0.1286,0.1286,0.1286
