index,top1,top3,top5,top7,top10,top15,top20,top30,top40,top50
43,0.04929,0.04922,0.04922,0.04922,0.04922,0.04922,0.04922,0.04922,0.04922,0.04922
44,0.1331,0.1331,0.1321,0.1321,0.1321,0.1275,0.1185,0.1134,0.1132,0.1132
45,0.5167,0.4316,0.2381,0.2205,0.1767,0.1593,0.1593,0.1527,0.1487,0.1438
46,0.01645,0.01628,0.01628,0.01628,0.01628,0.01628,0.01628,0.01628,0.01628,0.01628
47,0.02224,0.02135,0.02135,0.02061,0.02061,0.02042,0.02042,0.02035,0.02035,0.02035
48,0.001127,0.001127,0.001127,0.001101,0.001101,0.001101,0.001091,0.001082,0.001079,0.001071
49,0.01694,0.01694,0.01636,0.0155,0.0155,0.0155,0.0155,0.0153,0.0148,0.0148
50,0.122,0.122,0.122,0.122,0.122,0.1193,0.1193,0.1193,0.1193,0.1193
53,0.01261,0.01261,0.0116,0.00915,0.00915,0.008916,0.008916,0.008916,0.008916,0.008895
54,0.4177,0.4177,0.4177,0.3731,0.2985,0.2985,0.2985,0.254,0.254,0.254
55,0.1956,0.1807,0.1807,0.1807,0.1807,0.1807,0.156,0.156,0.156,0.1444
56,0.0114,0.01095,0.01095,0.01025,0.009995,0.009995,0.009626,0.009434,0.009102,0.009102
60,0.05994,0.05994,0.05636,0.05636,0.05636,0.05627,0.05627,0.05608,0.05608,0.05608
